Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
French Guiana,GUF,7.47744,8.14744,8.84744,9.54744,10.16744,10.74744,11.23744,11.70744,12.31744,12.78744,13.25744,13.76744,14.22744,14.82744,15.39744,15.94744,16.41744,16.97744,17.53744,18.12744,18.76744,19.40744,19.99744,20.62744,21.35744,22.11744,22.88744
French Polynesia,PYF,8.75084,9.18084,9.59084,10.02084,10.46084,10.89084,11.32084,11.77084,12.22084,12.71084,13.28084,13.96084,14.67084,15.44084,16.20084,17.02084,17.84084,18.66084,19.50084,20.35084,21.21084,22.04084,22.85084,23.67084,24.47084,25.33084,26.23084
Gabon,GAB,116.9,121.43,126.36,131.35,135.74,140.36,145.13,149.92,154.9,159.7,164.39,169.19,173.76,178.4,183.08,187.96,192.13,196.24,200.41,204.66,209.47,214.44,219.54,224.82,230.01,235.34,240.75
Gambia,GMB,3.2268,3.4068,3.5868,3.7768,3.9668,4.1668,4.3668,4.5668,4.7768,5.0068,5.2568,5.5068,5.7968,6.0868,6.3768,6.6668,6.9768,7.3268,7.6968,8.0768,8.5068,8.9568,9.4068,9.8368,10.3468,10.8568,11.3868
Georgia,GEO,408.45,425.03,440.35,450.29,456.37,458.67,462.73,467.16,472.12,476.46,480.99,484.76,488.15,491.92,496.24,501.3,507.44,513.86,519.02,525.26,531.57,539.54,547.97,555.82,564.8,573.97,583.36
Germany,DEU,66889.75331,67903.87331,68869.66331,69825.64331,70764.85331,71703.00331,72661.37331,73592.14331,74514.92331,75410.26331,76309.55331,77225.19331,78124.35331,79024.73331,79910.94331,80776.81331,81654.18331,82504.92331,83358.51331,84147.02331,84979.46331,85792.04331,86609.19331,87444.65331,88239.48331,89031.53331,89833.04331
Ghana,GHA,87.98015,91.91015,95.89015,100.43015,105.38015,110.65015,116.26015,122.62015,129.02015,135.56015,141.84015,148.75015,156.17015,163.79015,171.13015,178.12015,187.47015,197.29015,206.42015,214.12015,224.07015,233.89015,245.76015,260.37015,274.82015,289.60015,304.78015
Gibraltar,GIB,2.66124,2.86124,3.09124,3.33124,3.61124,3.88124,4.16124,4.45124,4.76124,5.08124,5.41124,5.75124,6.10124,6.46124,6.84124,7.24124,7.66124,8.07124,8.50124,8.96124,9.43124,9.88124,10.34124,10.83124,11.36124,11.91124,12.47124
Greece,GRC,1334.24904,1417.59904,1502.51904,1586.74904,1673.13904,1760.08904,1849.18904,1942.98904,2041.60904,2139.54904,2242.52904,2347.89904,2452.90904,2561.98904,2671.51904,2785.44904,2897.90904,3012.48904,3123.59904,3227.93904,3325.27904,3419.80904,3511.22904,3592.94904,3671.60904,3746.56904,3817.64904
Greenland,GRL,15.12982,15.67982,16.15982,16.65982,17.15982,17.65982,18.17982,18.69982,19.22982,19.76982,20.29982,20.83982,21.37982,21.90982,22.48982,23.09982,23.72982,24.36982,25.02982,25.60982,26.26982,26.97982,27.54982,28.09982,28.60982,29.13982,29.67982
Grenada,GRD,1.66909,1.77909,1.89909,2.01909,2.15909,2.30909,2.45909,2.62909,2.80909,2.99909,3.18909,3.37909,3.58909,3.80909,4.01909,4.23909,4.46909,4.70909,4.95909,5.20909,5.46909,5.71909,5.98909,6.28909,6.52909,6.77909,7.03909
Guadeloupe,GLP,17.77666,19.06666,20.40666,21.77666,23.19666,24.65666,26.20666,27.80666,29.87666,31.76666,33.67666,35.74666,37.85666,40.08666,42.39666,44.61666,46.76666,49.09666,51.38666,53.69666,55.99666,58.42666,60.96666,63.51666,66.07666,68.72666,71.43666
Guatemala,GTM,102.48845,107.53845,113.54845,119.19845,126.02845,133.18845,139.83845,147.42845,156.17845,165.09845,175.00845,185.62845,196.71845,207.53845,219.14845,231.70845,244.34845,256.96845,268.38845,280.22845,291.88845,303.71845,315.67845,329.29845,347.60845,366.56845,385.86845
Guinea,GIN,26.52515,27.55515,28.61515,29.70515,30.95515,32.24515,33.60515,35.02515,36.52515,38.10515,39.74515,41.46515,43.26515,45.14515,47.08515,48.90515,50.79515,52.76515,54.95515,57.21515,59.81515,62.59515,65.17515,67.47515,69.92515,72.38515,74.93515
Guinea-Bissau,GNB,3.43074,3.61074,3.79074,3.97074,4.15074,4.33074,4.51074,4.71074,4.88074,5.07074,5.22074,5.37074,5.52074,5.71074,5.91074,6.12074,6.34074,6.57074,6.80074,7.03074,7.27074,7.52074,7.77074,8.03074,8.30074,8.57074,8.85074
Guyana,GUY,46.21185,47.32185,48.36185,49.40185,50.78185,52.24185,53.76185,55.35185,57.01185,58.69185,60.30185,61.89185,63.47185,65.03185,66.66185,68.10185,69.39185,70.95185,72.51185,74.07185,75.79185,77.57185,79.56185,81.49185,83.50185,85.60185,87.73185
Haiti,HTI,20.25766,21.25766,22.16766,22.82766,23.12766,24.02766,25.05766,26.42766,27.65766,28.98766,30.35766,31.92766,33.74766,35.47766,37.46766,39.53766,41.64766,44.03766,46.43766,48.70766,50.83766,53.05766,55.36766,57.76766,60.62766,63.60766,66.62766
Honduras,HND,52.83643,55.53643,58.60643,61.45643,64.78643,68.66643,72.62643,76.77643,81.42643,86.16643,91.19643,96.90643,102.99643,109.75643,117.11643,124.66643,131.66643,140.43643,149.10643,156.97643,164.94643,173.89643,182.87643,191.93643,201.39643,211.21643,221.19643
Hong Kong,HKG,429.62,458.24,491.31,526.25,557.51,588.95,618.05,648.73,687.8,730.48,770.89,808.82,848.42,891.74,933.41,977.25,1019.27,1062.96,1106.9,1149.01,1189.65,1233.41,1276.8,1321.77,1367.95,1410.88,1454.33
Hungary,HUN,3337.22015,3406.99015,3469.39015,3532.92015,3594.80015,3656.41015,3719.58015,3781.33015,3842.67015,3904.49015,3963.03015,4023.19015,4082.35015,4144.28015,4204.69015,4265.18015,4325.06015,4383.57015,4440.98015,4492.76015,4544.98015,4595.42015,4642.30015,4686.17015,4730.20015,4776.98015,4825.02015
Iceland,ISL,59.19023,61.27023,63.47023,65.80023,68.08023,70.39023,72.79023,75.28023,77.78023,80.48023,83.24023,86.00023,88.85023,91.70023,94.62023,97.47023,100.50023,103.79023,107.40023,110.97023,114.40023,117.73023,121.05023,124.38023,127.67023,131.03023,134.45023
India,IND,11880.58408,12538.23408,13236.75408,13959.86408,14723.97408,15534.87408,16416.47408,17333.40408,18268.86408,19263.81408,20294.82408,21335.12408,22388.52408,23487.22408,24640.60408,25862.16408,27164.81408,28571.27408,30138.37408,31875.59408,33593.87408,35434.14408,37450.99408,39484.08408,41720.63408,44041.04408,46471.84408
