New Zealand,NZL,-41,174,7.071237612,8.549394199,7.527296054,7.305005861,7.185948221,7.747276831,7.531957408,7.686575825
Nicaragua,NIC,13,-85,0.614917368,0.748457268,0.793378229,0.790571277,0.840380212,0.786172383,0.765378513,0.808520856
Niger,NER,16,8,0.091527858,0.061369828,0.061217486,0.0714398,0.077789764,0.105264016,0.105275363,0.111073516
Nigeria,NGA,10,8,0.411426136,0.621626466,0.49698548,0.57711138,0.587523023,0.588789917,0.571126416,0.545622113
North Macedonia,MKD,41.8333,22,..,5.928994176,4.20383424,4.154450175,4.535127435,4.322883016,3.780523467,3.614938183
Norway,NOR,62,10,7.429148081,8.834015703,11.46182886,12.2934545,9.124767216,9.940980235,11.45011884,9.270945132
Oman,OMN,21,57,6.283128973,9.654208063,14.25745055,15.59053119,16.68986874,17.07526401,16.53740003,15.44316719
Pakistan,PAK,30,70,0.636761224,0.768458119,0.950832112,0.946268168,0.929801105,0.918978434,0.904315983,0.896264105
Palau,PLW,7.5,134.5,15.55461294,13.00422425,12.07791761,12.36067416,12.28326618,12.18918008,12.27007648,12.34270409
Panama,PAN,9,-80,1.120426919,1.910735965,2.402400133,2.515310074,2.723708675,2.680559818,2.792431187,2.254311363
Papua New Guinea,PNG,-6,147,0.496521842,0.478428354,0.733141685,0.670128424,0.732961333,0.683475587,0.814742393,0.814648807
Paraguay,PRY,-23,-58,0.513446243,0.695683708,0.744430376,0.820810138,0.845408397,0.828337607,0.840506114,0.870219291
Peru,PER,-10,-76,0.965359974,1.169087226,1.782828044,1.96073385,1.667770946,1.82602434,1.869868254,1.993485949
Philippines,PHL,13,122,0.67417677,0.939934892,0.841111599,0.905495625,0.897333685,0.941558643,0.99642457,1.055456846
Poland,POL,52,20,9.66717214,7.822798329,7.800914342,8.313376825,8.328175875,7.879830064,7.946282506,7.517151585
Portugal,PRT,39.5,-8,4.239198924,6.096403385,5.126323978,4.552752646,4.510827218,4.37605313,4.344029312,4.331554028
Qatar,QAT,25.5,51.25,24.71373821,58.6393586,43.51447655,40.74201765,41.20564544,44.61792936,37.78008534,45.42323996
